Target_gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	Representative miRNA	Cumulative weighted context score	Total context score	Aggregate PCT	Previous TargetScan publication(s)
GlyT	FBtr0301162	Glycine transporter	195	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.02	-0.02	0.39	2011
CG8065	FBtr0345693	-	878	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.02	-0.65	0.72	
DIP-alpha	FBtr0333795	Dpr-interacting protein alpha	252	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.02	-0.02	0.42	
MRP	FBtr0090013	Multidrug-Resistance like Protein 1	9157	2	0	1	1	2	0	1	1	dme-miR-999-3p	-0.02	-3.71	0.72	
Gug	FBtr0076616	Grunge	3198	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.02	-0.03	0.46	
CG42346	FBtr0333178	-	665	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.02	-0.02	0.48	
HDAC4	FBtr0333331	Histone deacetylase 4	4759	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.02	-0.22	0.26	
LRR	FBtr0088939	Leucine-rich repeat	3125	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.02	-0.88	0.73	
CG3638	FBtr0336978	-	5870	2	1	0	1	0	0	0	0	dme-miR-999-3p	-0.02	-0.89	0.82	
Mulk	FBtr0079986	Multi-substrate lipid kinase	943	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.02	-0.29	N/A	
fne	FBtr0113493	found in neurons	7004	1	0	1	0	1	0	1	0	dme-miR-999-3p	-0.02	-0.04	0.35	
Pa1	FBtr0073456	PTIP associated 1	800	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.01	-0.52	0.55	
CG17841	FBtr0071444	-	15387	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.01	-0.09	0.37	
Cul3	FBtr0302156	Cullin 3	5455	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.01	-0.33	0.39	
fmt	FBtr0331790	fiery mountain	5266	2	0	1	1	0	0	0	0	dme-miR-999-3p	-0.01	-0.60	0.63	
CG10425	FBtr0084867	-	4848	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.01	-0.70	0.31	
CG10469	FBtr0077064	-	462	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.01	-0.63	< 0.1	
CG3822	FBtr0083987	-	152	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.01	-0.30	0.35	
DCP2	FBtr0304975	Decapping protein 2	4315	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.01	-0.23	0.31	
CG7970	FBtr0346821	-	5910	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.01	-0.55	0.64	
fog	FBtr0333182	folded gastrulation	2198	1	0	0	1	0	0	0	0	dme-miR-999-3p	0	-0.30	0.80	
CG45263	FBtr0345457	-	1465	1	0	0	1	0	0	0	0	dme-miR-999-3p	0	-0.14	0.47	
Slh	FBtr0335169	SLY-1 homologous	2190	1	0	0	1	0	0	0	0	dme-miR-999-3p	0	-0.67	0.76	2011
Octbeta1R	FBtr0100322	Octopamine beta1 receptor	254	1	0	0	1	0	0	0	0	dme-miR-999-3p	0	-0.30	0.47	
Calx	FBtr0344317	Na/Ca-exchange protein	3653	1	1	0	0	0	0	0	0	dme-miR-999-3p	0	-1.35	0.73	
CG32647	FBtr0346126	-	5765	1	1	0	0	1	0	0	1	dme-miR-999-3p	0	-3.70	0.56	
CG31468	FBtr0334769	-	16093	1	0	0	1	0	0	0	0	dme-miR-999-3p	0	-0.69	0.53	
Cyp312a1	FBtr0332863	Cyp312a1	3066	1	0	0	1	0	0	0	0	dme-miR-999-3p	0	-0.50	0.76	2011
CG8311	FBtr0087121	-	1778	1	1	0	0	0	0	0	0	dme-miR-999-3p	0	-1.16	0.66	
CG12025	FBtr0345381	-	7471	1	0	1	0	0	0	0	0	dme-miR-999-3p	0	-0.02	0.21	
Meics	FBtr0075791	Meiotic central spindle	877	1	1	0	0	0	0	0	0	dme-miR-999-3p	0	-0.41	< 0.1	
CG18480	FBtr0343717	-	792	1	0	1	0	0	0	0	0	dme-miR-999-3p	0	-0.02	0.46	
MetRS-m	FBtr0347148	"Methionyl-tRNA synthetase, mitochondrial"	704	1	0	1	0	0	0	0	0	dme-miR-999-3p	0	-0.02	0.33	
